id,split,text,label,label_name
RD-00001,train,喝汤比吃菜更有营养,1,谣言
RD-00002,train,吃人参能治百病,1,谣言
RD-00003,train,穿束腰能缩小腰围,1,谣言
RD-00004,train,新冠可以通过食物传播,1,谣言
RD-00005,train,自制水果酵素瘦身美容,1,谣言
RD-00006,train,早餐是重要一餐有助维持代谢水平,0,非谣言
RD-00007,train,国家免费疫苗包含多种基础疾病预防项目,0,非谣言
RD-00008,train,胰腺癌是因为糖吃太多,1,谣言
RD-00009,train,癌症是因为“气”憋出来的,1,谣言
RD-00010,train,拍打拉筋不具有医学确切证据支持疗效,0,非谣言
RD-00011,train,得新冠就不会再得第二次,1,谣言
RD-00012,train,手指长倒刺是常见现象，和维生素缺乏无关，是由于物理摩擦或洗手过多所致,0,非谣言
RD-00013,train,揉眼可带入细菌并伤害角膜,0,非谣言
RD-00014,train,传染病患者可依法结婚和生育,0,非谣言
RD-00015,train,过度刷夜可能引发视疲劳与干眼,0,非谣言
RD-00016,train,月经期间吃冷饮会不孕,1,谣言
RD-00017,train,电脑模式开护眼色就不伤眼,1,谣言
RD-00018,train,吸烟有害健康不具备抗病毒作用,0,非谣言
RD-00019,train,喝红糖水不能治疗痛经。,0,非谣言
RD-00020,train,吃粗粮可以治愈糖尿病,1,谣言
RD-00021,train,所谓“寒湿体质”需综合分析非单一指标,0,非谣言
RD-00022,train,心理疾病只能通过药物解决,1,谣言
RD-00023,train,按摩耳朵可以治疗高血压,1,谣言
RD-00024,train,空腹运动并不一定更燃脂反而可能造成能量不足,0,非谣言
RD-00025,train,抗病毒药物越早吃越好,1,谣言
RD-00026,train,醋泡脚治脚气,1,谣言
RD-00027,train,打疫苗后仍需保持良好生活习惯提升防护效果,0,非谣言
RD-00028,train,失眠人群不建议日间补觉。,0,非谣言
RD-00029,train,存在易胖体质,0,非谣言
RD-00030,train,消化功能较弱的人群：饭前空腹吃水果可能引发不适。水果中的果酸易刺激肠胃，可能导致腹痛、腹泻、胃痛等症状，这类人群更适合饭后吃水果。,0,非谣言
RD-00031,train,毛孔能用冰水收缩,1,谣言
RD-00032,train,体检报告上，HPV和TCT结果有异常，就是宫颈癌,1,谣言
RD-00033,train,高温睡眠环境不利深度睡眠,0,非谣言
RD-00034,train,山药含淀粉质不适合糖尿病患者多食,0,非谣言
